State,City,total_orders,total_revenue,unique_pincodes
-,-,45,107222.0,40
Andaman & Nicobar Islands,Nicobar,5,9460.0,2
Andaman & Nicobar Islands,North And Middle Andaman,17,42452.0,4
Andaman & Nicobar Islands,Port Blair,3,6125.0,3
Andaman & Nicobar Islands,South Andaman,316,589389.35,10
Andaman and Nicobar Islands,North And Middle Andaman,1,2900.0,1
Andaman and Nicobar Islands,South Andaman,4,8825.0,2
Andhra Pradesh,Ananthapur,510,995190.73,55
Andhra Pradesh,Chittoor,625,1214883.5,60
Andhra Pradesh,Cuddapah,308,554569.3,41
Andhra Pradesh,East Godavari,506,884233.95,82
Andhra Pradesh,Guntur,587,1058204.75,65
Andhra Pradesh,Kothapet,1,1800.0,1
Andhra Pradesh,Krishna,782,1310899.35,68
Andhra Pradesh,Kurnool,375,688770.98,43
Andhra Pradesh,Nellore,344,648443.9,39
Andhra Pradesh,Peddapalli,3,5488.0,1
Andhra Pradesh,Prakasam,203,361517.15,47
Andhra Pradesh,Srikakulam,107,159718.35,31
Andhra Pradesh,Visakhapatnam,1225,2261999.93,99
Andhra Pradesh,Vizianagaram,117,203236.2,26
Andhra Pradesh,West Godavari,322,564307.43,70
Arunachal Pradesh,Changlang,347,600805.55,6
Arunachal Pradesh,Dibang Valley,154,275051.0,1
Arunachal Pradesh,East Kameng,72,154499.0,2
Arunachal Pradesh,East Siang,388,645848.2,3
Arunachal Pradesh,Itanagar,1,1475.0,1
Arunachal Pradesh,Kolarbazar,1,1200.0,1
Arunachal Pradesh,Kurung Kumey,1,1620.0,1
Arunachal Pradesh,Lohit,137,243895.2,3
Arunachal Pradesh,Lower Subansiri,218,410523.7,1
Arunachal Pradesh,Papum Pare,2202,3883182.0,24
Arunachal Pradesh,Tawang,65,140340.15,3
Arunachal Pradesh,Tirap,115,233750.25,3
Arunachal Pradesh,Upper Siang,23,39845.0,2
Arunachal Pradesh,Upper Subansiri,39,96556.0,1
Arunachal Pradesh,West Kameng,183,360699.2,6
Arunachal Pradesh,West Siang,91,194938.0,3
Assam,Barpeta,367,669168.99,24
Assam,Bongaigaon,409,768645.25,13
Assam,Cachar,884,1651515.05,48
Assam,Darrang,445,817964.25,26
Assam,Dhemaji,253,472546.8,7
Assam,Dhubri,254,508999.45,17
Assam,Dibrugarh,901,1684462.8,27
Assam,Goalpara,250,408820.6,11
Assam,Golaghat,311,533383.5,15
Assam,Hailakandi,145,279498.3,10
Assam,Jorhat,573,1085623.44,26
Assam,Kamrup,4156,7430712.92,123
Assam,Karbi Anglong,446,804624.6,12
Assam,Karimganj,271,537973.35,23
Assam,Kokrajhar,392,672632.2,17
Assam,Lakhimpur,408,775447.45,18
Assam,Marigaon,177,331786.55,11
Assam,Nagaon,774,1473036.55,34
Assam,Nalbari,223,443865.1,32
Assam,North Cachar Hills,275,449403.25,8
Assam,Sibsagar,641,1210670.75,38
Assam,Sonitpur,748,1455837.7,41
Assam,Tinsukia,704,1315466.2,30
Bihar,Araria,151,274059.0,12
Bihar,Aurangabad,1,1475.0,1
Bihar,Aurangabad(BH),105,231406.5,19
Bihar,Banka,66,134843.15,10
Bihar,Begusarai,224,466445.25,26
Bihar,Bhagalpur,418,841498.8,24
Bihar,Bhojpur,144,282756.25,25
Bihar,Buxar,74,155373.55,18
Bihar,Darbhanga,272,538986.8,33
Bihar,East Champaran,200,424695.69,28
Bihar,Gaya,390,841226.35,30
Bihar,Gopalganj,121,285329.55,18
Bihar,Jamui,49,97268.35,7
Bihar,Jehanabad,35,70088.1,9
Bihar,Kaimur (Bhabua),73,154186.3,9
Bihar,Katihar,208,414835.45,14
Bihar,Khagaria,89,185371.1,13
Bihar,Kishanganj,134,289808.65,7
Bihar,Lakhisarai,15,37378.0,4
Bihar,Madhepura,100,189783.2,13
Bihar,Madhubani,156,352940.8,31
Bihar,Munger,157,339430.9,5
Bihar,Muzaffarpur,383,779604.65,36
Bihar,Nalanda,232,482107.95,27
Bihar,Nawada,87,170494.4,13
Bihar,Patna,2493,4627345.67,94
Bihar,Purnia,283,549912.0,19
Bihar,Rohtas,162,360161.0,24
Bihar,Saharsa,85,173561.98,10
Bihar,Samastipur,205,396629.95,28
Bihar,Saran,150,300649.85,29
Bihar,Sheikhpura,21,36318.15,2
Bihar,Sheohar,16,26699.05,4
Bihar,Sitamarhi,135,280140.95,20
Bihar,Siwan,153,311398.0,26
Bihar,Supaul,72,139456.5,17
Bihar,Vaishali,139,284253.7,18
Bihar,West Champaran,131,258171.5,18
Chandigarh,Chandigarh,2426,4246866.89,54
Chhattisgarh,Ambikapur,130,236109.3,6
Chhattisgarh,Bastar,390,760587.85,14
Chhattisgarh,Bijapur(CGH),35,66685.0,3
Chhattisgarh,Bilaspur(CGH),734,1485755.6,20
Chhattisgarh,Dantewada,117,221640.4,8
Chhattisgarh,Dhamtari,108,235371.3,5
Chhattisgarh,Durg,1178,2398177.84,31
Chhattisgarh,Janjgir-champa,167,388922.45,14
Chhattisgarh,Jashpur,129,260334.8,12
Chhattisgarh,Kanker,155,343683.8,12
Chhattisgarh,Kawardha,69,140565.35,3
Chhattisgarh,Khamtarai,4,3563.0,1
Chhattisgarh,Korba,402,848373.78,18
Chhattisgarh,Koriya,131,278937.15,14
Chhattisgarh,Mahasamund,94,202693.55,5
Chhattisgarh,Narayanpur,35,72337.0,1
Chhattisgarh,Raigarh,323,660492.0,19
Chhattisgarh,Raipur,1627,3275167.78,76
Chhattisgarh,Rajnandgaon,295,649906.45,13
Chhattisgarh,Surguja,403,861503.65,17
Dadra and Nagar Haveli,Valsad,5,19250.0,1
Dadra and Nagar Haveli and Daman and Diu,Daman,146,268352.0,4
Dadra and Nagar Haveli and Daman and Diu,Diu,26,51877.15,3
Daman and Diu,Daman,2,5550.0,2
Daman and Diu,Diu,1,4500.0,1
Delhi,Delhi,27478,47154519.54,114
Delhi,Noida,1,1475.0,1
England,Mumbai,6,5040.0,2
Goa,Amona,8,7934.0,1
Goa,Goa,4518,8106592.55,88
Goa,Keri,1,1800.0,1
Goa,Khamgaon,1,1200.0,1
Goa,Panaji,22,38831.2,11
Goa,South Goa,1,2275.0,1
Gujarat,Ahmedabad,5513,10105948.22,189
Gujarat,Amreli,118,243198.45,22
Gujarat,Anand,612,1191749.8,42
Gujarat,Anandnagar,8,17444.0,2
Gujarat,Banaskantha,221,419089.4,24
Gujarat,Bharuch,409,781976.35,10
Gujarat,Bhavnagar,360,725876.35,31
Gujarat,Bilaspur,1,1775.0,1
Gujarat,Dahod,130,255439.15,11
Gujarat,Daman,1,0.0,1
Gujarat,Gandhi Nagar,1573,2959046.23,35
Gujarat,Jamnagar,551,1105327.68,36
Gujarat,Junagadh,314,684991.3,31
Gujarat,Kachchh,821,1551338.3,46
Gujarat,Kheda,292,602442.2,35
Gujarat,Mahesana,419,837892.49,32
Gujarat,Mehsana,1,2275.0,1
Gujarat,Narmada,223,446540.65,16
Gujarat,Navsari,509,1003618.6,34
Gujarat,Panch Mahals,284,534421.25,24
Gujarat,Patan,120,229444.34,12
Gujarat,Porbandar,124,251728.75,11
Gujarat,Rajkot,1388,2831861.26,39
Gujarat,Sabarkantha,267,540205.65,36
Gujarat,Surat,3139,5936907.37,86
Gujarat,Surendra Nagar,131,272426.6,17
Gujarat,Tapi,1,900.0,1
Gujarat,The Dangs,30,68379.0,2
Gujarat,Vadodara,3127,5818782.82,73
Gujarat,Valsad,1114,2148283.13,33
Haryana,Ambala,776,1400420.8,28
Haryana,Ambli,1,965.0,1
Haryana,Amroha,2,4035.0,1
Haryana,Bhiwani,284,553056.05,26
Haryana,Faridabad,2627,4703985.6,20
Haryana,Fatehabad,207,361331.29,10
Haryana,Gurgaon,6847,11920261.12,94
Haryana,Hisar,481,871078.1,16
Haryana,Hissar,1,1475.0,1
Haryana,Jhajjar,412,810683.0,16
Haryana,Jind,228,418150.29,11
Haryana,Kaithal,192,336176.88,11
Haryana,Karnal,579,1024350.45,15
Haryana,Kurukshetra,453,788643.79,12
Haryana,Mahendragarh,174,320707.48,11
Haryana,Panchkula,954,1671427.55,18
Haryana,Panipat,533,960943.39,12
Haryana,Rewari,338,633850.85,9
Haryana,Rohtak,582,1128985.05,16
Haryana,Sirsa,290,537033.25,14
Haryana,Sonipat,657,1218480.5,22
Haryana,Yamuna Nagar,475,799011.34,10
Himachal Pradesh,Bilaspur (HP),179,320499.35,22
Himachal Pradesh,Chamba,225,443093.85,20
Himachal Pradesh,Hamirpur(HP),334,626584.84,42
Himachal Pradesh,Kangra,995,1889389.7,100
Himachal Pradesh,Kinnaur,66,136347.0,9
Himachal Pradesh,Kullu,483,875836.3,22
Himachal Pradesh,Lahul & Spiti,13,23310.0,3
Himachal Pradesh,Mandi,551,1059818.08,41
Himachal Pradesh,Shimla,994,1817060.6,67
Himachal Pradesh,Sirmaur,232,439706.35,13
Himachal Pradesh,Solan,643,1113085.3,30
Himachal Pradesh,Una,239,438810.55,27
International,International,217,1022302.4,160
Jammu & Kashmir,Ananthnag,156,284547.2,10
Jammu & Kashmir,Baramulla,271,430921.4,16
Jammu & Kashmir,Budgam,420,775778.05,13
Jammu & Kashmir,Doda,196,385870.75,11
Jammu & Kashmir,Jammu,2116,3593386.9,42
Jammu & Kashmir,Kargil,1,764.0,1
Jammu & Kashmir,Kathua,275,464776.55,16
Jammu & Kashmir,Kharar,1,1200.0,1
Jammu & Kashmir,Kupwara,101,199568.0,7
Jammu & Kashmir,Leh,23,41243.0,3
Jammu & Kashmir,Poonch,118,251249.15,4
Jammu & Kashmir,Pulwama,402,738696.3,11
Jammu & Kashmir,Rajauri,171,314749.8,11
Jammu & Kashmir,Shopian,4,3074.0,1
Jammu & Kashmir,Srinagar,1047,2055327.6,50
Jammu & Kashmir,Udhampur,356,601780.75,17
Jammu and Kashmir,Ananthnag,8,18590.0,3
Jammu and Kashmir,Baramulla,6,19350.0,5
Jammu and Kashmir,Budgam,6,25275.0,4
Jammu and Kashmir,Doda,3,6725.0,2
Jammu and Kashmir,Jammu,28,78485.0,16
Jammu and Kashmir,Kathua,4,13025.0,3
Jammu and Kashmir,Kupwara,1,1400.0,1
Jammu and Kashmir,Poonch,2,7400.0,1
Jammu and Kashmir,Pulwama,13,41100.0,7
Jammu and Kashmir,Rajauri,6,13825.0,3
Jammu and Kashmir,Srinagar,18,53625.0,11
Jammu and Kashmir,Udhampur,3,8950.0,3
Jharkhand,Amraipur,1,1675.0,1
Jharkhand,Bokaro,406,806379.15,29
Jharkhand,Chatra,45,97013.1,6
Jharkhand,Deoghar,208,413860.65,14
Jharkhand,Dhanbad,582,1181746.99,48
Jharkhand,Dumka,134,276751.55,12
Jharkhand,East Singhbhum,1161,2284013.95,32
Jharkhand,Garhwa,64,129622.15,9
Jharkhand,Giridh,138,283766.3,15
Jharkhand,Godda,91,158146.1,8
Jharkhand,Gumla,80,167918.45,12
Jharkhand,Hazaribag,252,543293.95,15
Jharkhand,Jamtara,58,100177.05,3
Jharkhand,Khamgaon,3,4800.0,1
Jharkhand,Kharik,3,5000.0,1
Jharkhand,Khunti,4,9050.0,1
Jharkhand,Koderma,72,160946.0,9
Jharkhand,Latehar,48,130925.0,6
Jharkhand,Lohardaga,362,732566.2,4
Jharkhand,Pakur,39,80011.1,6
Jharkhand,Palamau,162,327470.7,12
Jharkhand,Ramgarh,150,325113.7,20
Jharkhand,Ranchi,1694,3287814.63,52
Jharkhand,Sahibganj,55,106020.15,6
Jharkhand,Seraikela-kharsawan,201,394522.25,10
Jharkhand,Simdega,56,125987.25,4
Jharkhand,West Singhbhum,203,402480.85,17
Karnataka,Alandur,8,10623.0,1
Karnataka,Ambajogai,3,6695.0,2
Karnataka,Amingad,13,19407.0,1
Karnataka,Amruthahalli,127,217969.35,5
Karnataka,Anantapur,1,900.0,1
Karnataka,Bagalkot,375,771574.49,28
Karnataka,Ballari,444,814230.8,32
Karnataka,Belagavi,889,1628385.62,85
Karnataka,Bengaluru,24854,43778966.66,244
Karnataka,Bidar,194,361957.65,11
Karnataka,Bijapur (Vijayapura),1,1475.0,1
Karnataka,Chamrajnagar,59,113609.1,9
Karnataka,Chikkamagaluru,209,353964.3,25
Karnataka,Chitradurga,168,330738.35,17
Karnataka,Dakshina Kannada,984,1648697.95,77
Karnataka,Davangere,361,658783.05,30
Karnataka,Dharwad,753,1368540.75,31
Karnataka,Gadag,113,232815.3,16
Karnataka,Hassan,298,543697.1,27
Karnataka,Haveri,122,225938.85,22
Karnataka,Kalaburagi,499,950846.05,26
Karnataka,Kodagu,172,301692.65,22
Karnataka,Kolar,470,889284.84,41
Karnataka,Koppal,86,169193.3,15
Karnataka,Mandya,159,287539.7,32
Karnataka,Mysuru,1135,1953742.74,52
Karnataka,Raichur,62,137127.3,3
Karnataka,Ramanagar,154,297154.6,10
Karnataka,Shivamogga,362,682481.6,35
Karnataka,Tumakuru,412,782978.9,39
Karnataka,Tumkur,2,5975.0,2
Karnataka,Udupi,461,804798.7,58
Karnataka,Uttara Kannada,445,866603.6,55
Karnataka,Vijayapura,300,588575.65,27
Karnataka,Yadgir,85,162972.6,13
Kerala,Alappuzha,305,510465.1,89
Kerala,Ernakulam,1069,1696105.4,124
Kerala,Idukki,78,141256.1,35
Kerala,Kannur,249,377961.7,75
Kerala,Kasargod,114,178678.94,24
Kerala,Kollam,243,388641.5,86
Kerala,Kottayam,234,377233.9,84
Kerala,Kozhikode,267,410276.69,72
Kerala,Malappuram,158,244343.15,59
Kerala,Palakkad,239,360942.12,82
Kerala,Pathanamthitta,186,283925.3,70
Kerala,Thiruvananthapuram,691,1096655.75,126
Kerala,Thrissur,425,664664.75,126
Kerala,Wayanad,48,74580.3,15
Lakshadweep,Lakshadweep,2,2599.0,2
Madhya Pradesh,Alibag,1,2975.0,1
Madhya Pradesh,Alirajpur,4,7818.0,2
Madhya Pradesh,Amgaon,14,34664.0,2
Madhya Pradesh,Anuppur,61,135286.4,8
Madhya Pradesh,Arera Colony,41,70143.3,1
Madhya Pradesh,Ashok Nagar,9,18666.5,3
Madhya Pradesh,Balaghat,233,483880.55,18
Madhya Pradesh,Barwani,81,175735.0,8
Madhya Pradesh,Betul,281,576576.65,20
Madhya Pradesh,Bhind,74,150036.1,12
Madhya Pradesh,Bhopal,2268,4299236.55,92
Madhya Pradesh,Burhanpur,8,10845.0,3
Madhya Pradesh,Chhatarpur,114,225045.6,16
Madhya Pradesh,Chhindwara,416,830758.45,21
Madhya Pradesh,Damoh,97,187542.3,11
Madhya Pradesh,Datia,80,155253.2,7
Madhya Pradesh,Dewas,160,319963.05,10
Madhya Pradesh,Dhar,197,413889.15,15
Madhya Pradesh,Dindori,63,119423.0,8
Madhya Pradesh,East Nimar,153,302554.5,15
Madhya Pradesh,Guna,161,315968.9,14
Madhya Pradesh,Gwalior,762,1391689.65,18
Madhya Pradesh,Harda,130,270178.15,3
Madhya Pradesh,Hoshangabad,185,351449.03,14
Madhya Pradesh,Indore,2529,4625247.43,32
Madhya Pradesh,Jabalpur,1114,2117745.2,18
Madhya Pradesh,Jhabua,116,229711.35,11
Madhya Pradesh,Katni,224,454982.1,16
Madhya Pradesh,Khamkheda,1,1200.0,1
Madhya Pradesh,Khandwa,1,1400.0,1
Madhya Pradesh,Khargone,5,6470.0,3
Madhya Pradesh,Krishna,1,2575.0,1
Madhya Pradesh,Mandla,139,283966.13,12
Madhya Pradesh,Mandsaur,134,262652.5,15
Madhya Pradesh,Morena,100,179917.8,9
Madhya Pradesh,Narsinghpur,145,313484.2,11
Madhya Pradesh,Neemuch,102,220686.5,12
Madhya Pradesh,Panna,67,124144.05,7
Madhya Pradesh,Raisen,62,133399.2,14
Madhya Pradesh,Rajgarh,69,137135.15,13
Madhya Pradesh,Ratlam,214,411966.45,12
Madhya Pradesh,Rewa,314,637108.45,25
Madhya Pradesh,Sagar,312,663904.15,22
Madhya Pradesh,Satna,311,626067.25,20
Madhya Pradesh,Sehore,140,291020.15,14
