State,City,total_orders,total_revenue,unique_pincodes
Madhya Pradesh,Seoni,219,491031.65,17
Madhya Pradesh,Shahdol,104,230697.9,15
Madhya Pradesh,Shajapur,84,152845.35,13
Madhya Pradesh,Sheopur,18,28463.1,4
Madhya Pradesh,Shivpuri,113,238960.1,14
Madhya Pradesh,Sidhi,177,364435.65,14
Madhya Pradesh,Singrauli,28,54148.1,2
Madhya Pradesh,Tikamgarh,65,132039.6,9
Madhya Pradesh,Ujjain,426,810590.55,19
Madhya Pradesh,Umaria,240,519833.4,8
Madhya Pradesh,Vidisha,114,245606.75,7
Madhya Pradesh,West Nimar,122,222781.7,11
Maharashtra,Ahmed Nagar,727,1403548.1,62
Maharashtra,Akola,251,522486.0,18
Maharashtra,Amgaon,68,144872.2,25
Maharashtra,Amraoti,4,11540.0,3
Maharashtra,Amravati,543,1128815.08,36
Maharashtra,Aurangabad,934,1728997.09,30
Maharashtra,Beed,173,332648.25,21
Maharashtra,Bhandara,205,439222.95,18
Maharashtra,Buldhana,219,427366.6,25
Maharashtra,Chandrapur,615,1210181.67,26
Maharashtra,Dhule,245,482537.35,19
Maharashtra,Gadchiroli,210,425936.05,14
Maharashtra,Gondia,210,427024.74,11
Maharashtra,Hingoli,93,197784.2,9
Maharashtra,Jalgaon,516,1056458.5,41
Maharashtra,Jalna,142,271181.95,17
Maharashtra,Kalyan,8,11910.0,1
Maharashtra,Khamgaon,1,1800.0,1
Maharashtra,Kolhapur,895,1703468.98,66
Maharashtra,Latur,258,496249.75,17
Maharashtra,Mumbai,34183,58455220.93,352
Maharashtra,Nagpur,3393,6332833.25,62
Maharashtra,Nanded,373,729220.1,29
Maharashtra,Nandurbar,151,287666.6,12
Maharashtra,Nashik,1872,3457010.85,70
Maharashtra,Osmanabad,115,216660.3,17
Maharashtra,Parbhani,132,272441.87,11
Maharashtra,Pune,15027,27452941.08,139
Maharashtra,Raigad,1,2275.0,1
Maharashtra,Raigarh(MH),2876,5352938.42,53
Maharashtra,Ratnagiri,519,1124025.4,49
Maharashtra,Sangli,575,1170687.7,57
Maharashtra,Satara,736,1462244.65,69
Maharashtra,Sindhudurg,278,556256.1,34
Maharashtra,Solapur,626,1234452.0,54
Maharashtra,Wardha,238,423382.85,15
Maharashtra,Washim,63,117077.45,6
Maharashtra,Yavatmal,371,719235.5,27
Manipur,Bishnupur,56,89139.1,3
Manipur,Chandel,24,42069.2,2
Manipur,Churachandpur,283,441778.15,4
Manipur,Imphal,1913,3489569.85,20
Manipur,Imphal West,1,1475.0,1
Manipur,Senapati,178,343884.9,9
Manipur,Tamenglong,34,70208.0,3
Manipur,Thoubal,260,471947.05,8
Manipur,Ukhrul,41,89222.0,3
Meghalaya,East Garo Hills,150,247524.25,2
Meghalaya,East Khasi Hills,1751,2958486.51,34
Meghalaya,Jaintia Hills,359,631868.3,5
Meghalaya,Ri Bhoi,204,397040.4,6
Meghalaya,Shillong,2,2700.0,2
Meghalaya,South Garo Hills,13,24575.0,1
Meghalaya,West Garo Hills,686,1124643.35,14
Meghalaya,West Khasi Hills,106,217519.0,6
Mizoram,Aizawl,556,964488.05,15
Mizoram,Champhai,40,71656.2,3
Mizoram,Kherbari,1,1900.0,1
Mizoram,Kolasib,46,74428.0,4
Mizoram,Lawngtlai,28,43503.0,2
Mizoram,Lunglei,61,117809.3,4
Mizoram,Mammit,10,15901.1,3
Mizoram,Serchhip,13,20357.2,2
Nagaland,Dimapur,1681,2992376.13,8
Nagaland,Kohima,925,1609266.15,17
Nagaland,Longkhim,1,1200.0,1
Nagaland,Longleng,15,25259.0,1
Nagaland,Mokokchung,328,621865.7,6
Nagaland,Mon,74,123090.2,4
Nagaland,Peren,43,95753.0,1
Nagaland,Phek,35,68120.1,4
Nagaland,Tuensang,99,178160.0,3
Nagaland,Wokha,160,269586.18,1
Nagaland,Zunhebotto,53,106977.8,4
Not Found,Not Found,16,61423.2,1
Odisha,Angul,317,585865.35,28
Odisha,Balangir,278,545158.25,28
Odisha,Baleswar,436,855492.95,46
Odisha,Bargarh,190,424464.0,22
Odisha,Bhadrak,227,444158.7,30
Odisha,Boudh,24,43541.8,5
Odisha,Cuttack,925,1831575.9,54
Odisha,Debagarh,37,81176.45,5
Odisha,Dhenkanal,181,342902.15,22
Odisha,Gajapati,55,110048.75,12
Odisha,Ganjam,792,1528780.8,69
Odisha,Jagatsinghapur,149,304349.75,25
Odisha,Jajapur,216,431702.5,36
Odisha,Jharsuguda,297,604666.55,16
Odisha,Kalahandi,240,527874.05,23
Odisha,Kandhamal,88,172408.1,14
Odisha,Kendrapara,140,283586.15,25
Odisha,Kendujhar,503,1019315.95,39
Odisha,Keonjhargarh,2,2430.0,1
Odisha,Khorda,2763,5223018.65,80
Odisha,Koraput,374,710177.15,26
Odisha,Malkangiri,75,151404.1,5
Odisha,Mayurbhanj,380,729705.68,50
Odisha,Nabarangapur,88,190502.3,11
Odisha,Nayagarh,97,189739.45,17
Odisha,Nuapada,74,159967.1,7
Odisha,Puri,309,596645.15,21
Odisha,Rayagada,247,466826.2,17
Odisha,Sambalpur,443,846265.1,25
Odisha,Sonapur,63,120212.04,4
Odisha,Sundergarh,846,1642004.65,52
Puducherry,Karaikal,26,26829.15,7
Puducherry,Puducherry,233,382102.2,22
Punjab,Amloh,1,3875.0,1
Punjab,Amritsar,1865,3213553.14,121
Punjab,Barnala,156,257089.15,6
Punjab,Bathinda,549,1001417.9,19
Punjab,Chandigarh,8,23600.0,1
Punjab,Faridkot,202,352547.15,6
Punjab,Fatehgarh Sahib,288,533493.3,12
Punjab,Firozpur,517,893924.52,23
Punjab,Gurdaspur,1071,1907529.2,35
Punjab,Hoshiarpur,944,1669740.41,54
Punjab,Jalandhar,1913,3401181.27,60
Punjab,Kapurthala,686,1240921.65,28
Punjab,Khamano,3,4800.0,2
Punjab,Khamgaon,1,1800.0,1
Punjab,Ludhiana,2683,4638739.34,70
Punjab,Mansa,118,226529.55,8
Punjab,Moga,361,647672.35,21
Punjab,Mohali,1105,1928723.7,10
Punjab,Muktsar,215,380432.1,13
Punjab,Nawanshahr,233,448085.8,21
Punjab,Patiala,1111,1954456.15,22
Punjab,Ropar,57,122599.0,4
Punjab,Rupnagar,1710,3039697.4,19
Punjab,Sangrur,406,761445.83,20
Punjab,Tarn Taran,98,174481.3,3
Rajasthan,Ajmer,677,1314089.93,35
Rajasthan,Alambagh,26,41917.0,1
Rajasthan,Alwar,611,1169536.58,36
Rajasthan,Amba,4,8106.7,2
Rajasthan,Banswara,145,283917.95,14
Rajasthan,Baran,61,126874.55,11
Rajasthan,Barmer,108,215597.0,20
Rajasthan,Bharatpur,118,224494.7,21
Rajasthan,Bhilwara,369,723906.95,27
Rajasthan,Bikaner,317,637869.65,20
Rajasthan,Bundi,72,158705.35,14
Rajasthan,Chittorgarh,251,491719.8,33
Rajasthan,Churu,152,287555.9,21
Rajasthan,Dausa,53,94248.65,16
Rajasthan,Dholpur,48,85756.2,8
Rajasthan,Dungarpur,121,221818.6,22
Rajasthan,Ganganagar,380,714649.9,23
Rajasthan,Hanumangarh,242,494996.85,16
Rajasthan,Jaipur,3513,6260200.67,115
Rajasthan,Jaisalmer,17,33053.0,3
Rajasthan,Jalor,93,154209.3,16
Rajasthan,Jhalawar,102,211438.55,14
Rajasthan,Jhujhunu,218,423504.05,38
Rajasthan,Jodhpur,1002,1813998.45,38
Rajasthan,Kanpur,2,1950.0,1
Rajasthan,Karauli,33,60093.1,11
Rajasthan,Kota,748,1390599.05,26
Rajasthan,Nagaur,211,408175.5,35
Rajasthan,Pali,208,397259.9,37
Rajasthan,Rajsamand,183,370187.65,21
Rajasthan,Sawai Madhopur,50,86983.1,11
Rajasthan,Sikar,284,535151.3,37
Rajasthan,Sirohi,132,237419.5,15
Rajasthan,Tonk,99,200628.15,9
Rajasthan,Udaipur,823,1547906.14,28
Sikkim,East Sikkim,1356,2333841.59,16
Sikkim,Imphal,4,7050.0,4
Sikkim,North Sikkim,76,131094.0,2
Sikkim,South Sikkim,360,641416.4,3
Sikkim,West Sikkim,377,653325.1,3
Tamil Nadu,Alandur,3,9280.0,1
Tamil Nadu,Alwarpet,51,86601.1,3
Tamil Nadu,Ariyalur,9,18463.0,7
Tamil Nadu,Chennai,2716,4240823.82,88
Tamil Nadu,Coimbatore,1284,1961718.3,111
Tamil Nadu,Cuddalore,99,173105.59,32
Tamil Nadu,Dharmapuri,27,53802.0,12
Tamil Nadu,Dindigul,89,147270.1,26
Tamil Nadu,Erode,204,323967.0,53
Tamil Nadu,Kanchipuram,2254,3689993.05,75
Tamil Nadu,Kanyakumari,131,212444.05,38
Tamil Nadu,Karur,57,91945.65,11
Tamil Nadu,Krishnagiri,268,489943.05,25
Tamil Nadu,Madurai,293,492169.24,34
Tamil Nadu,Nagapattinam,50,82796.64,24
Tamil Nadu,Namakkal,88,124816.9,24
Tamil Nadu,Nilgiris,135,207065.6,22
Tamil Nadu,Perambalur,24,44830.0,7
Tamil Nadu,Puducherry,28,39131.2,9
Tamil Nadu,Pudukkottai,30,61655.0,17
Tamil Nadu,Ramanathapuram,43,85333.25,16
Tamil Nadu,Salem,202,318987.75,49
Tamil Nadu,Sivaganga,61,93757.0,16
Tamil Nadu,Thanjavur,121,212865.4,30
Tamil Nadu,Theni,68,124130.05,13
Tamil Nadu,Tiruchirappalli,299,475764.3,43
Tamil Nadu,Tirunelveli,149,254218.8,51
Tamil Nadu,Tiruvallur,1172,1990539.14,51
Tamil Nadu,Tiruvannamalai,67,111316.3,20
Tamil Nadu,Tiruvarur,39,49647.5,14
Tamil Nadu,Tuticorin,102,171465.55,28
Tamil Nadu,Vellore,320,631509.2,65
Tamil Nadu,Villupuram,82,155041.95,26
Tamil Nadu,Virudhunagar,75,135930.3,13
Telangana,Adilabad,234,462141.5,34
Telangana,Alwal,7,13525.0,1
Telangana,Amberpet,1,764.0,1
Telangana,Hyderabad,13790,24776302.7,119
Telangana,K.V.Rangareddy,984,1794463.53,27
Telangana,Karim Nagar,359,644971.73,51
Telangana,Khammam,242,455037.15,41
Telangana,Mahabub Nagar,278,530596.4,33
Telangana,Medak,665,1330529.35,41
Telangana,Nalgonda,165,317662.65,27
Telangana,Nizamabad,279,583650.65,32
Telangana,Warangal,416,797766.5,45
Tripura,Dhalai,81,167571.5,10
Tripura,North Tripura,207,431600.8,17
Tripura,South Tripura,202,385982.2,13
Tripura,West Tripura,954,1774677.14,35
Uttar Pradesh,Agra,1032,2005073.36,29
Uttar Pradesh,Aligarh,595,1082067.25,32
Uttar Pradesh,Allahabad,1255,2459572.75,44
Uttar Pradesh,Ambedkar Nagar,98,205590.15,16
Uttar Pradesh,Ambedkarnagar,1,5075.0,1
Uttar Pradesh,Amraigaon,9,22434.0,3
Uttar Pradesh,Amroha,27,68254.2,10
Uttar Pradesh,Auraiya,100,203685.05,12
Uttar Pradesh,Azamgarh,286,609034.1,47
Uttar Pradesh,Bagpat,126,268601.55,13
Uttar Pradesh,Bahraich,190,413165.9,17
Uttar Pradesh,Ballia,164,333147.74,28
Uttar Pradesh,Balrampur,47,104881.1,10
Uttar Pradesh,Banda,137,275748.9,13
Uttar Pradesh,Barabanki,151,315901.2,23
Uttar Pradesh,Bareilly,920,1758499.15,26
Uttar Pradesh,Basti,206,443058.09,17
Uttar Pradesh,Bijnor,404,887592.48,23
Uttar Pradesh,Budaun,182,364364.95,16
Uttar Pradesh,Bulandshahr,275,543986.0,21
Uttar Pradesh,Chandauli,134,238193.25,15
Uttar Pradesh,Chitrakoot,34,53870.2,2
Uttar Pradesh,Deoria,205,417931.0,21
Uttar Pradesh,Etah,174,312862.95,18
Uttar Pradesh,Etawah,196,410824.05,14
Uttar Pradesh,Faizabad,272,568089.6,29
Uttar Pradesh,Farrukhabad,164,329579.95,14
Uttar Pradesh,Fatehpur,130,281533.05,15
Uttar Pradesh,Firozabad,211,409251.75,13
Uttar Pradesh,Gautam Buddha Nagar,6073,10758942.33,22
Uttar Pradesh,Ghaziabad,5779,10380965.16,34
Uttar Pradesh,Ghazipur,168,320247.0,36
Uttar Pradesh,Gonda,175,356582.85,26
Uttar Pradesh,Gorakhpur,831,1699042.13,37
Uttar Pradesh,Hamirpur,94,190260.75,14
Uttar Pradesh,Hardoi,214,446251.35,18
Uttar Pradesh,Hathras,275,514149.74,9
Uttar Pradesh,Jalaun,1151,1500221.4,13
Uttar Pradesh,Jaunpur,222,407953.4,30
Uttar Pradesh,Jhansi,572,1126425.94,18
Uttar Pradesh,Jyotiba Phule Nagar,199,382372.35,11
Uttar Pradesh,Kannauj,70,147791.15,9
Uttar Pradesh,Kanpur,2024,3870019.75,57
Uttar Pradesh,Kaushambi,171,349596.15,15
Uttar Pradesh,Kheri,248,524196.19,24
Uttar Pradesh,Kushinagar,160,354907.35,18
Uttar Pradesh,Lalitpur,77,153594.4,5
Uttar Pradesh,Lucknow,4899,9246101.04,183
Uttar Pradesh,Maharajganj,111,231352.2,16
Uttar Pradesh,Mahoba,9,17911.0,3
Uttar Pradesh,Mainpuri,122,241708.2,11
Uttar Pradesh,Mathura,375,739483.33,22
Uttar Pradesh,Mau,67,134781.05,7
Uttar Pradesh,Meerut,1157,2134730.97,21
Uttar Pradesh,Mirzapur,173,350146.9,15
Uttar Pradesh,Moradabad,727,1416213.35,23
Uttar Pradesh,Muzaffarnagar,466,843312.45,26
Uttar Pradesh,Noida,118,248167.35,1
Uttar Pradesh,Pilibhit,166,306012.15,6
Uttar Pradesh,Pratapgarh,131,270194.05,29
Uttar Pradesh,Raebareli,292,594935.7,36
Uttar Pradesh,Rampur,259,494975.7,6
Uttar Pradesh,Saharanpur,518,963792.83,19
Uttar Pradesh,Sant Kabir Nagar,13,30356.25,5
Uttar Pradesh,Sant Ravidas Nagar,50,99322.2,8
Uttar Pradesh,Shahjahanpur,259,507608.9,15
Uttar Pradesh,Shrawasti,75,154327.4,6
Uttar Pradesh,Siddharthnagar,94,205387.15,18
Uttar Pradesh,Sitapur,201,399509.05,19
Uttar Pradesh,Sonbhadra,203,414954.7,16
Uttar Pradesh,Sultanpur,200,385846.3,31
Uttar Pradesh,Unnao,207,446899.5,14
Uttar Pradesh,Varanasi,1239,2348167.78,36
Uttarakhand,Almora,232,473178.65,16
Uttarakhand,Bageshwar,46,94404.3,6
Uttarakhand,Chamoli,90,192352.15,18
Uttarakhand,Champawat,128,226456.7,5
Uttarakhand,Dehradun,3421,6322062.22,63
Uttarakhand,Haridwar,883,1638242.57,18
Uttarakhand,Nainital,784,1440812.6,14
Uttarakhand,Pauri Garhwal,276,521643.1,16
Uttarakhand,Pithoragarh,144,307994.48,15
Uttarakhand,Rudraprayag,41,83299.2,8
Uttarakhand,Tehri Garhwal,108,238085.8,13
Uttarakhand,Udham Singh Nagar,532,1017246.33,13
Uttarakhand,Uttarkashi,69,158765.2,7
West Bengal,Alipurduar,333,639374.2,21
West Bengal,Ambari,1,299.0,1
West Bengal,Bankura,189,394904.95,31
West Bengal,Birbhum,255,507994.7,32
West Bengal,Cooch Behar,286,570789.08,21
West Bengal,Dakshin Dinajpur,2,5875.0,1
West Bengal,Darjiling,2160,3927708.12,52
West Bengal,East Midnapore,318,609385.35,55
West Bengal,Hooghly,823,1606562.25,76
West Bengal,Howrah,979,1952342.31,49
West Bengal,Jalpaiguri,525,1037783.15,34
West Bengal,Kalimpong,241,419797.1,5
West Bengal,Khamgaon,1,1400.0,1
West Bengal,Kolkata,4691,8307303.97,135
West Bengal,Malda,390,835357.03,31
West Bengal,Murshidabad,369,749448.05,54
West Bengal,Nadia,541,1074377.65,65
West Bengal,North 24 Parganas,3461,6539833.77,127
West Bengal,North Dinajpur,278,533772.79,17
West Bengal,Paschim Bardhaman,494,980351.4,31
West Bengal,Purba Bardhaman,1003,1860872.95,74
West Bengal,Purulia,211,409956.25,25
West Bengal,South 24 Parganas,1380,2583390.92,58
West Bengal,South Dinajpur,63,116796.55,9
West Bengal,Uttar Dinajpur,1,975.0,1
West Bengal,West Midnapore,637,1220519.95,59
