S.No,City,Existing Clinics,Highest Avg NTB,Micro-Market Pincode,Micro-Market Area,Expansion Rationale,National IVFs Present,Regional IVFs Present
1,Mumbai,"Malad, Dadar, Virar, Kharghar, Khadakpada, Mira Rd, Thane",655.7,400058,Andheri West,"High web order density, commercial hub","Indira IVF (Borivali, Dadar, Andheri, Vashi), Nova IVF (Andheri, Chembur, Vashi), Apollo Fertility, Cloudnine (Malad, Vashi)","Bloom IVF (Bandra, Lilavati), Morpheus IVF, Jaslok Hospital IVF"
2,Mumbai,"Malad, Dadar, Virar, Kharghar, Khadakpada, Mira Rd, Thane",655.7,400069,Andheri East,"IT corridor, young professional population","Indira IVF (Borivali, Dadar, Andheri, Vashi), Nova IVF (Andheri, Chembur, Vashi), Apollo Fertility, Cloudnine (Malad, Vashi)","Bloom IVF (Bandra, Lilavati), Morpheus IVF, Jaslok Hospital IVF"
3,Mumbai,"Malad, Dadar, Virar, Kharghar, Khadakpada, Mira Rd, Thane",655.7,400076,Powai,"Hiranandani Gardens, affluent residential","Indira IVF (Borivali, Dadar, Andheri, Vashi), Nova IVF (Andheri, Chembur, Vashi), Apollo Fertility, Cloudnine (Malad, Vashi)","Bloom IVF (Bandra, Lilavati), Morpheus IVF, Jaslok Hospital IVF"
4,Mumbai,"Malad, Dadar, Virar, Kharghar, Khadakpada, Mira Rd, Thane",655.7,400053,Bandra East,"BKC proximity, high-income catchment","Indira IVF (Borivali, Dadar, Andheri, Vashi), Nova IVF (Andheri, Chembur, Vashi), Apollo Fertility, Cloudnine (Malad, Vashi)","Bloom IVF (Bandra, Lilavati), Morpheus IVF, Jaslok Hospital IVF"
5,Mumbai,"Malad, Dadar, Virar, Kharghar, Khadakpada, Mira Rd, Thane",655.7,400080,Ghatkopar,"Metro connectivity, dense residential","Indira IVF (Borivali, Dadar, Andheri, Vashi), Nova IVF (Andheri, Chembur, Vashi), Apollo Fertility, Cloudnine (Malad, Vashi)","Bloom IVF (Bandra, Lilavati), Morpheus IVF, Jaslok Hospital IVF"
6,Mumbai,"Malad, Dadar, Virar, Kharghar, Khadakpada, Mira Rd, Thane",655.7,400072,Vikhroli,"Godrej township area, growing catchment","Indira IVF (Borivali, Dadar, Andheri, Vashi), Nova IVF (Andheri, Chembur, Vashi), Apollo Fertility, Cloudnine (Malad, Vashi)","Bloom IVF (Bandra, Lilavati), Morpheus IVF, Jaslok Hospital IVF"
7,Mumbai,"Malad, Dadar, Virar, Kharghar, Khadakpada, Mira Rd, Thane",655.7,400016,Parel/Lower Parel,"Mill district, premium real estate","Indira IVF (Borivali, Dadar, Andheri, Vashi), Nova IVF (Andheri, Chembur, Vashi), Apollo Fertility, Cloudnine (Malad, Vashi)","Bloom IVF (Bandra, Lilavati), Morpheus IVF, Jaslok Hospital IVF"
8,Mumbai,"Malad, Dadar, Virar, Kharghar, Khadakpada, Mira Rd, Thane",655.7,400104,Kandivali East,"High population density, affordable residential","Indira IVF (Borivali, Dadar, Andheri, Vashi), Nova IVF (Andheri, Chembur, Vashi), Apollo Fertility, Cloudnine (Malad, Vashi)","Bloom IVF (Bandra, Lilavati), Morpheus IVF, Jaslok Hospital IVF"
9,Mumbai,"Malad, Dadar, Virar, Kharghar, Khadakpada, Mira Rd, Thane",655.7,421301,Dombivli,"Major dormitory town, high commuter population","Indira IVF (Borivali, Dadar, Andheri, Vashi), Nova IVF (Andheri, Chembur, Vashi), Apollo Fertility, Cloudnine (Malad, Vashi)","Bloom IVF (Bandra, Lilavati), Morpheus IVF, Jaslok Hospital IVF"
10,Mumbai,"Malad, Dadar, Virar, Kharghar, Khadakpada, Mira Rd, Thane",655.7,400705,Airoli/Ghansoli,"IT parks, young working couples","Indira IVF (Borivali, Dadar, Andheri, Vashi), Nova IVF (Andheri, Chembur, Vashi), Apollo Fertility, Cloudnine (Malad, Vashi)","Bloom IVF (Bandra, Lilavati), Morpheus IVF, Jaslok Hospital IVF"
11,Delhi,"Lajpat, Rajouri",691.4,110034,Pitampura,North Delhi residential hub,"Indira IVF (Daryaganj, Pitampura, Lajpat Nagar), Nova IVF (Rajouri, Noida), Apollo Fertility, Gaudium IVF (Kailash Colony, Janakpuri), Max Fertility","God's Grace IVF, International Fertility Centre, Crysta IVF, Janini IVF"
12,Delhi,"Lajpat, Rajouri",691.4,110052,Rohini,"Dense residential, metro connected","Indira IVF (Daryaganj, Pitampura, Lajpat Nagar), Nova IVF (Rajouri, Noida), Apollo Fertility, Gaudium IVF (Kailash Colony, Janakpuri), Max Fertility","God's Grace IVF, International Fertility Centre, Crysta IVF, Janini IVF"
13,Delhi,"Lajpat, Rajouri",691.4,110092,Shahdara,"East Delhi, high population density","Indira IVF (Daryaganj, Pitampura, Lajpat Nagar), Nova IVF (Rajouri, Noida), Apollo Fertility, Gaudium IVF (Kailash Colony, Janakpuri), Max Fertility","God's Grace IVF, International Fertility Centre, Crysta IVF, Janini IVF"
14,Delhi,"Lajpat, Rajouri",691.4,110019,Nehru Place/Kalkaji,South Delhi commercial-residential,"Indira IVF (Daryaganj, Pitampura, Lajpat Nagar), Nova IVF (Rajouri, Noida), Apollo Fertility, Gaudium IVF (Kailash Colony, Janakpuri), Max Fertility","God's Grace IVF, International Fertility Centre, Crysta IVF, Janini IVF"
15,Delhi,"Lajpat, Rajouri",691.4,110044,Dwarka,"Sub-city, young families","Indira IVF (Daryaganj, Pitampura, Lajpat Nagar), Nova IVF (Rajouri, Noida), Apollo Fertility, Gaudium IVF (Kailash Colony, Janakpuri), Max Fertility","God's Grace IVF, International Fertility Centre, Crysta IVF, Janini IVF"
16,Delhi,"Lajpat, Rajouri",691.4,110088,Preet Vihar,East Delhi residential hub,"Indira IVF (Daryaganj, Pitampura, Lajpat Nagar), Nova IVF (Rajouri, Noida), Apollo Fertility, Gaudium IVF (Kailash Colony, Janakpuri), Max Fertility","God's Grace IVF, International Fertility Centre, Crysta IVF, Janini IVF"
17,Delhi,"Lajpat, Rajouri",691.4,110085,Shahdara (NE Delhi),"Dense population, underserved","Indira IVF (Daryaganj, Pitampura, Lajpat Nagar), Nova IVF (Rajouri, Noida), Apollo Fertility, Gaudium IVF (Kailash Colony, Janakpuri), Max Fertility","God's Grace IVF, International Fertility Centre, Crysta IVF, Janini IVF"
18,Delhi,"Lajpat, Rajouri",691.4,110015,Saket,South Delhi affluent area,"Indira IVF (Daryaganj, Pitampura, Lajpat Nagar), Nova IVF (Rajouri, Noida), Apollo Fertility, Gaudium IVF (Kailash Colony, Janakpuri), Max Fertility","God's Grace IVF, International Fertility Centre, Crysta IVF, Janini IVF"
19,Delhi,"Lajpat, Rajouri",691.4,110058,Janakpuri,West Delhi residential hub,"Indira IVF (Daryaganj, Pitampura, Lajpat Nagar), Nova IVF (Rajouri, Noida), Apollo Fertility, Gaudium IVF (Kailash Colony, Janakpuri), Max Fertility","God's Grace IVF, International Fertility Centre, Crysta IVF, Janini IVF"
20,Delhi,"Lajpat, Rajouri",691.4,110091,Mayur Vihar,"East Delhi, metro connected","Indira IVF (Daryaganj, Pitampura, Lajpat Nagar), Nova IVF (Rajouri, Noida), Apollo Fertility, Gaudium IVF (Kailash Colony, Janakpuri), Max Fertility","God's Grace IVF, International Fertility Centre, Crysta IVF, Janini IVF"
21,Bengaluru,"JP Ng, Whitefield, Kalyan Ng, Basaveshwar",537.0,560001,MG Road/Central Bangalore,"CBD, high footfall","Indira IVF (Indira Nagar, Jayanagar, Whitefield), Nova IVF (Koramangala, Jayanagar), Apollo Fertility, Cloudnine, Gaudium IVF","Milann Fertility (3 locations), Oasis Fertility, Manipal Fertility"
22,Bengaluru,"JP Ng, Whitefield, Kalyan Ng, Basaveshwar",537.0,560011,Malleshwaram,"Traditional residential, high income","Indira IVF (Indira Nagar, Jayanagar, Whitefield), Nova IVF (Koramangala, Jayanagar), Apollo Fertility, Cloudnine, Gaudium IVF","Milann Fertility (3 locations), Oasis Fertility, Manipal Fertility"
23,Bengaluru,"JP Ng, Whitefield, Kalyan Ng, Basaveshwar",537.0,560034,Koramangala,"Startup hub, young professionals","Indira IVF (Indira Nagar, Jayanagar, Whitefield), Nova IVF (Koramangala, Jayanagar), Apollo Fertility, Cloudnine, Gaudium IVF","Milann Fertility (3 locations), Oasis Fertility, Manipal Fertility"
24,Bengaluru,"JP Ng, Whitefield, Kalyan Ng, Basaveshwar",537.0,560085,Marathahalli,"IT corridor, high demand from web orders","Indira IVF (Indira Nagar, Jayanagar, Whitefield), Nova IVF (Koramangala, Jayanagar), Apollo Fertility, Cloudnine, Gaudium IVF","Milann Fertility (3 locations), Oasis Fertility, Manipal Fertility"
25,Bengaluru,"JP Ng, Whitefield, Kalyan Ng, Basaveshwar",537.0,560102,Electronic City,"Major IT hub, young couples","Indira IVF (Indira Nagar, Jayanagar, Whitefield), Nova IVF (Koramangala, Jayanagar), Apollo Fertility, Cloudnine, Gaudium IVF","Milann Fertility (3 locations), Oasis Fertility, Manipal Fertility"
26,Bengaluru,"JP Ng, Whitefield, Kalyan Ng, Basaveshwar",537.0,560103,Sarjapur Road,Fastest growing corridor,"Indira IVF (Indira Nagar, Jayanagar, Whitefield), Nova IVF (Koramangala, Jayanagar), Apollo Fertility, Cloudnine, Gaudium IVF","Milann Fertility (3 locations), Oasis Fertility, Manipal Fertility"
27,Bengaluru,"JP Ng, Whitefield, Kalyan Ng, Basaveshwar",537.0,560048,BTM Layout,"Dense residential, tech workers","Indira IVF (Indira Nagar, Jayanagar, Whitefield), Nova IVF (Koramangala, Jayanagar), Apollo Fertility, Cloudnine, Gaudium IVF","Milann Fertility (3 locations), Oasis Fertility, Manipal Fertility"
28,Bengaluru,"JP Ng, Whitefield, Kalyan Ng, Basaveshwar",537.0,560010,Yelahanka,"North Bangalore, Air Force area","Indira IVF (Indira Nagar, Jayanagar, Whitefield), Nova IVF (Koramangala, Jayanagar), Apollo Fertility, Cloudnine, Gaudium IVF","Milann Fertility (3 locations), Oasis Fertility, Manipal Fertility"
29,Bengaluru,"JP Ng, Whitefield, Kalyan Ng, Basaveshwar",537.0,560058,HSR Layout,"Startup hub, young families","Indira IVF (Indira Nagar, Jayanagar, Whitefield), Nova IVF (Koramangala, Jayanagar), Apollo Fertility, Cloudnine, Gaudium IVF","Milann Fertility (3 locations), Oasis Fertility, Manipal Fertility"
30,Bengaluru,"JP Ng, Whitefield, Kalyan Ng, Basaveshwar",537.0,560004,Indiranagar,"Premium residential, metro connected","Indira IVF (Indira Nagar, Jayanagar, Whitefield), Nova IVF (Koramangala, Jayanagar), Apollo Fertility, Cloudnine, Gaudium IVF","Milann Fertility (3 locations), Oasis Fertility, Manipal Fertility"
31,Hyderabad,"Madhapur, Kalasiguda",612.9,500034,Kukatpally,"Major residential hub, KPHB colony","Indira IVF (Himayatnagar, Kukatpally, KPHB), Nova IVF (Banjara Hills, LB Nagar), Apollo Fertility (Jubilee Hills)","Oasis Fertility (4 locations), ART Fertility, Medicover Fertility, Ferty9"
32,Hyderabad,"Madhapur, Kalasiguda",612.9,500072,LB Nagar,"South Hyderabad, growing area","Indira IVF (Himayatnagar, Kukatpally, KPHB), Nova IVF (Banjara Hills, LB Nagar), Apollo Fertility (Jubilee Hills)","Oasis Fertility (4 locations), ART Fertility, Medicover Fertility, Ferty9"
33,Hyderabad,"Madhapur, Kalasiguda",612.9,500038,Dilsukhnagar,"Major commercial hub, dense residential","Indira IVF (Himayatnagar, Kukatpally, KPHB), Nova IVF (Banjara Hills, LB Nagar), Apollo Fertility (Jubilee Hills)","Oasis Fertility (4 locations), ART Fertility, Medicover Fertility, Ferty9"
34,Hyderabad,"Madhapur, Kalasiguda",612.9,500090,Nizampet/Qutubullapur,"IT corridor adjacent, fast growing","Indira IVF (Himayatnagar, Kukatpally, KPHB), Nova IVF (Banjara Hills, LB Nagar), Apollo Fertility (Jubilee Hills)","Oasis Fertility (4 locations), ART Fertility, Medicover Fertility, Ferty9"
35,Hyderabad,"Madhapur, Kalasiguda",612.9,500016,Ameerpet,"Central location, coaching hub","Indira IVF (Himayatnagar, Kukatpally, KPHB), Nova IVF (Banjara Hills, LB Nagar), Apollo Fertility (Jubilee Hills)","Oasis Fertility (4 locations), ART Fertility, Medicover Fertility, Ferty9"
36,Hyderabad,"Madhapur, Kalasiguda",612.9,500032,Kondapur,"IT hub, young professionals","Indira IVF (Himayatnagar, Kukatpally, KPHB), Nova IVF (Banjara Hills, LB Nagar), Apollo Fertility (Jubilee Hills)","Oasis Fertility (4 locations), ART Fertility, Medicover Fertility, Ferty9"
37,Hyderabad,"Madhapur, Kalasiguda",612.9,500049,Uppal,East Hyderabad residential,"Indira IVF (Himayatnagar, Kukatpally, KPHB), Nova IVF (Banjara Hills, LB Nagar), Apollo Fertility (Jubilee Hills)","Oasis Fertility (4 locations), ART Fertility, Medicover Fertility, Ferty9"
38,Hyderabad,"Madhapur, Kalasiguda",612.9,500055,ECIL/Kapra,"Defense/PSU area, established residential","Indira IVF (Himayatnagar, Kukatpally, KPHB), Nova IVF (Banjara Hills, LB Nagar), Apollo Fertility (Jubilee Hills)","Oasis Fertility (4 locations), ART Fertility, Medicover Fertility, Ferty9"
39,Hyderabad,"Madhapur, Kalasiguda",612.9,500081,Kompally,"North Hyderabad, upcoming area","Indira IVF (Himayatnagar, Kukatpally, KPHB), Nova IVF (Banjara Hills, LB Nagar), Apollo Fertility (Jubilee Hills)","Oasis Fertility (4 locations), ART Fertility, Medicover Fertility, Ferty9"
40,Hyderabad,"Madhapur, Kalasiguda",612.9,501401,Shamshabad,"Airport area, pharma corridor","Indira IVF (Himayatnagar, Kukatpally, KPHB), Nova IVF (Banjara Hills, LB Nagar), Apollo Fertility (Jubilee Hills)","Oasis Fertility (4 locations), ART Fertility, Medicover Fertility, Ferty9"
41,Kolkata,"Ballygunge, Howrah, New Town",882.4,700091,Salt Lake,"IT hub, Sector V","Indira IVF (Park Street, Salt Lake), Nova IVF (Elgin, EM Bypass), Apollo Fertility, Birla Fertility","CCRM Kolkata, Genome Fertility"
42,Kolkata,"Ballygunge, Howrah, New Town",882.4,700064,Behala,"South Kolkata, dense residential","Indira IVF (Park Street, Salt Lake), Nova IVF (Elgin, EM Bypass), Apollo Fertility, Birla Fertility","CCRM Kolkata, Genome Fertility"
43,Kolkata,"Ballygunge, Howrah, New Town",882.4,700059,Lake Town,North Kolkata residential hub,"Indira IVF (Park Street, Salt Lake), Nova IVF (Elgin, EM Bypass), Apollo Fertility, Birla Fertility","CCRM Kolkata, Genome Fertility"
44,Kolkata,"Ballygunge, Howrah, New Town",882.4,700035,Gariahat,South Kolkata commercial-residential,"Indira IVF (Park Street, Salt Lake), Nova IVF (Elgin, EM Bypass), Apollo Fertility, Birla Fertility","CCRM Kolkata, Genome Fertility"
45,Kolkata,"Ballygunge, Howrah, New Town",882.4,700102,Rajarhat,"New Town adjacent, IT/ITES","Indira IVF (Park Street, Salt Lake), Nova IVF (Elgin, EM Bypass), Apollo Fertility, Birla Fertility","CCRM Kolkata, Genome Fertility"
46,Kolkata,"Ballygunge, Howrah, New Town",882.4,700001,BBD Bagh/Central,"Business district, high footfall","Indira IVF (Park Street, Salt Lake), Nova IVF (Elgin, EM Bypass), Apollo Fertility, Birla Fertility","CCRM Kolkata, Genome Fertility"
47,Kolkata,"Ballygunge, Howrah, New Town",882.4,700036,Park Street,"Premium area, commercial hub","Indira IVF (Park Street, Salt Lake), Nova IVF (Elgin, EM Bypass), Apollo Fertility, Birla Fertility","CCRM Kolkata, Genome Fertility"
48,Kolkata,"Ballygunge, Howrah, New Town",882.4,711101,Howrah (Shibpur),"Trans-Hooghly, dense population","Indira IVF (Park Street, Salt Lake), Nova IVF (Elgin, EM Bypass), Apollo Fertility, Birla Fertility","CCRM Kolkata, Genome Fertility"
49,Kolkata,"Ballygunge, Howrah, New Town",882.4,743136,Barasat,"North 24 Parganas hub, satellite town","Indira IVF (Park Street, Salt Lake), Nova IVF (Elgin, EM Bypass), Apollo Fertility, Birla Fertility","CCRM Kolkata, Genome Fertility"
50,Kolkata,"Ballygunge, Howrah, New Town",882.4,700075,Dumdum,"Airport area, established residential","Indira IVF (Park Street, Salt Lake), Nova IVF (Elgin, EM Bypass), Apollo Fertility, Birla Fertility","CCRM Kolkata, Genome Fertility"
51,Ahmedabad,"Badakdev, Nikol",730.4,380015,Maninagar,"Central Ahmedabad, high density","Indira IVF (Navrangpura, Satellite), Nova IVF (Drive-In), Birla Fertility","ART Fertility, Morpheus IVF, Sneh IVF"
52,Ahmedabad,"Badakdev, Nikol",730.4,380054,Satellite/Prahladnagar,"Premium residential, SG Highway","Indira IVF (Navrangpura, Satellite), Nova IVF (Drive-In), Birla Fertility","ART Fertility, Morpheus IVF, Sneh IVF"
53,Ahmedabad,"Badakdev, Nikol",730.4,380059,Bopal,"South Ahmedabad, fast growing","Indira IVF (Navrangpura, Satellite), Nova IVF (Drive-In), Birla Fertility","ART Fertility, Morpheus IVF, Sneh IVF"
54,Ahmedabad,"Badakdev, Nikol",730.4,382424,Gandhinagar,"State capital, GIFT City proximity","Indira IVF (Navrangpura, Satellite), Nova IVF (Drive-In), Birla Fertility","ART Fertility, Morpheus IVF, Sneh IVF"
55,Ahmedabad,"Badakdev, Nikol",730.4,382481,Naroda,"Industrial area, large workforce","Indira IVF (Navrangpura, Satellite), Nova IVF (Drive-In), Birla Fertility","ART Fertility, Morpheus IVF, Sneh IVF"
56,Ahmedabad,"Badakdev, Nikol",730.4,380007,Navrangpura,"Central, educational institutions","Indira IVF (Navrangpura, Satellite), Nova IVF (Drive-In), Birla Fertility","ART Fertility, Morpheus IVF, Sneh IVF"
57,Ahmedabad,"Badakdev, Nikol",730.4,382340,Chandkheda,"North Ahmedabad, affordable housing","Indira IVF (Navrangpura, Satellite), Nova IVF (Drive-In), Birla Fertility","ART Fertility, Morpheus IVF, Sneh IVF"
58,Ahmedabad,"Badakdev, Nikol",730.4,380013,Naranpura,"Established residential, central","Indira IVF (Navrangpura, Satellite), Nova IVF (Drive-In), Birla Fertility","ART Fertility, Morpheus IVF, Sneh IVF"
59,Ahmedabad,"Badakdev, Nikol",730.4,380052,Thaltej,Premium residential corridor,"Indira IVF (Navrangpura, Satellite), Nova IVF (Drive-In), Birla Fertility","ART Fertility, Morpheus IVF, Sneh IVF"
60,Ahmedabad,"Badakdev, Nikol",730.4,382210,Sarkhej-Okaf,"Western corridor, growing area","Indira IVF (Navrangpura, Satellite), Nova IVF (Drive-In), Birla Fertility","ART Fertility, Morpheus IVF, Sneh IVF"
61,Pune,"Viman, PCMC, Kondhwa",532.5,411038,Kalyani Nagar,"Premium residential, Eon IT Park","Indira IVF (FC Road, Hadapsar), Nova IVF (Koregaon Park), Cloudnine, Birla Fertility","Ruby Hall IVF, Bloom IVF, Sahyadri IVF, Morpheus IVF"
62,Pune,"Viman, PCMC, Kondhwa",532.5,411006,Deccan,"City center, high footfall","Indira IVF (FC Road, Hadapsar), Nova IVF (Koregaon Park), Cloudnine, Birla Fertility","Ruby Hall IVF, Bloom IVF, Sahyadri IVF, Morpheus IVF"
63,Pune,"Viman, PCMC, Kondhwa",532.5,411021,Hinjewadi,"IT hub, Rajiv Gandhi Infotech Park","Indira IVF (FC Road, Hadapsar), Nova IVF (Koregaon Park), Cloudnine, Birla Fertility","Ruby Hall IVF, Bloom IVF, Sahyadri IVF, Morpheus IVF"
64,Pune,"Viman, PCMC, Kondhwa",532.5,411045,Hadapsar,"Magarpatta city, EON Free Zone","Indira IVF (FC Road, Hadapsar), Nova IVF (Koregaon Park), Cloudnine, Birla Fertility","Ruby Hall IVF, Bloom IVF, Sahyadri IVF, Morpheus IVF"
65,Pune,"Viman, PCMC, Kondhwa",532.5,411015,Kothrud,"Premium residential, established area","Indira IVF (FC Road, Hadapsar), Nova IVF (Koregaon Park), Cloudnine, Birla Fertility","Ruby Hall IVF, Bloom IVF, Sahyadri IVF, Morpheus IVF"
66,Pune,"Viman, PCMC, Kondhwa",532.5,411001,Shivajinagar,"Central Pune, institutional hub","Indira IVF (FC Road, Hadapsar), Nova IVF (Koregaon Park), Cloudnine, Birla Fertility","Ruby Hall IVF, Bloom IVF, Sahyadri IVF, Morpheus IVF"
67,Pune,"Viman, PCMC, Kondhwa",532.5,411057,Wakad,"IT corridor, young professionals","Indira IVF (FC Road, Hadapsar), Nova IVF (Koregaon Park), Cloudnine, Birla Fertility","Ruby Hall IVF, Bloom IVF, Sahyadri IVF, Morpheus IVF"
68,Pune,"Viman, PCMC, Kondhwa",532.5,412308,Wagholi,"Eastern corridor, affordable housing","Indira IVF (FC Road, Hadapsar), Nova IVF (Koregaon Park), Cloudnine, Birla Fertility","Ruby Hall IVF, Bloom IVF, Sahyadri IVF, Morpheus IVF"
69,Pune,"Viman, PCMC, Kondhwa",532.5,411041,Bavdhan,"NDA area, upper-middle residential","Indira IVF (FC Road, Hadapsar), Nova IVF (Koregaon Park), Cloudnine, Birla Fertility","Ruby Hall IVF, Bloom IVF, Sahyadri IVF, Morpheus IVF"
70,Pune,"Viman, PCMC, Kondhwa",532.5,411027,Pimpri,"Auto hub, industrial residential","Indira IVF (FC Road, Hadapsar), Nova IVF (Koregaon Park), Cloudnine, Birla Fertility","Ruby Hall IVF, Bloom IVF, Sahyadri IVF, Morpheus IVF"
71,Lucknow,"Gomati, Alambagh",808.3,226001,Hazratganj,"CBD, high footfall","Indira IVF (Hazratganj, Gomti Nagar), Nova IVF, Max Fertility","Janini IVF, Crysta IVF, Milann Fertility"
72,Lucknow,"Gomati, Alambagh",808.3,226016,Aliganj,Major residential hub,"Indira IVF (Hazratganj, Gomti Nagar), Nova IVF, Max Fertility","Janini IVF, Crysta IVF, Milann Fertility"
73,Lucknow,"Gomati, Alambagh",808.3,226021,Indira Nagar,"Planned colony, high income","Indira IVF (Hazratganj, Gomti Nagar), Nova IVF, Max Fertility","Janini IVF, Crysta IVF, Milann Fertility"
74,Lucknow,"Gomati, Alambagh",808.3,226020,Mahanagar,"Central residential, institutional area","Indira IVF (Hazratganj, Gomti Nagar), Nova IVF, Max Fertility","Janini IVF, Crysta IVF, Milann Fertility"
75,Lucknow,"Gomati, Alambagh",808.3,226024,Gomti Nagar Extension,"New development, premium","Indira IVF (Hazratganj, Gomti Nagar), Nova IVF, Max Fertility","Janini IVF, Crysta IVF, Milann Fertility"
76,Lucknow,"Gomati, Alambagh",808.3,226003,Aminabad,"Traditional market area, high footfall","Indira IVF (Hazratganj, Gomti Nagar), Nova IVF, Max Fertility","Janini IVF, Crysta IVF, Milann Fertility"
77,Lucknow,"Gomati, Alambagh",808.3,226004,Chinhat,"Eastern corridor, fast growing","Indira IVF (Hazratganj, Gomti Nagar), Nova IVF, Max Fertility","Janini IVF, Crysta IVF, Milann Fertility"
78,Lucknow,"Gomati, Alambagh",808.3,226028,Jankipuram,"Northern extension, residential","Indira IVF (Hazratganj, Gomti Nagar), Nova IVF, Max Fertility","Janini IVF, Crysta IVF, Milann Fertility"
79,Lucknow,"Gomati, Alambagh",808.3,226007,Vikas Nagar,Established residential,"Indira IVF (Hazratganj, Gomti Nagar), Nova IVF, Max Fertility","Janini IVF, Crysta IVF, Milann Fertility"
80,Lucknow,"Gomati, Alambagh",808.3,226005,Chowk,"Old city, dense population","Indira IVF (Hazratganj, Gomti Nagar), Nova IVF, Max Fertility","Janini IVF, Crysta IVF, Milann Fertility"
81,Surat,"Vesu, Adajan",590.7,395002,Ring Road/Athwa,"Premium residential, commercial","Indira IVF (Ring Road, Vesu), Nova IVF, Birla Fertility","Sunflower IVF, Akruti IVF"
82,Surat,"Vesu, Adajan",590.7,395010,Varachha,"Diamond/textile worker area, dense","Indira IVF (Ring Road, Vesu), Nova IVF, Birla Fertility","Sunflower IVF, Akruti IVF"
83,Surat,"Vesu, Adajan",590.7,395007,Katargam,"Textile hub, high population density","Indira IVF (Ring Road, Vesu), Nova IVF, Birla Fertility","Sunflower IVF, Akruti IVF"
84,Surat,"Vesu, Adajan",590.7,394210,Udhna,"Industrial area, large workforce","Indira IVF (Ring Road, Vesu), Nova IVF, Birla Fertility","Sunflower IVF, Akruti IVF"
85,Surat,"Vesu, Adajan",590.7,395004,Majura Gate,Central commercial district,"Indira IVF (Ring Road, Vesu), Nova IVF, Birla Fertility","Sunflower IVF, Akruti IVF"
86,Surat,"Vesu, Adajan",590.7,395017,Pal/Dumas Road,"Southern corridor, new development","Indira IVF (Ring Road, Vesu), Nova IVF, Birla Fertility","Sunflower IVF, Akruti IVF"
87,Surat,"Vesu, Adajan",590.7,394230,Bardoli,"Satellite town, growing demand","Indira IVF (Ring Road, Vesu), Nova IVF, Birla Fertility","Sunflower IVF, Akruti IVF"
88,Surat,"Vesu, Adajan",590.7,395023,Althan,"Near VR Mall, residential hub","Indira IVF (Ring Road, Vesu), Nova IVF, Birla Fertility","Sunflower IVF, Akruti IVF"
89,Surat,"Vesu, Adajan",590.7,395003,Nanpura,"Old city, dense residential","Indira IVF (Ring Road, Vesu), Nova IVF, Birla Fertility","Sunflower IVF, Akruti IVF"
90,Surat,"Vesu, Adajan",590.7,395006,Limbayat,"Southern Surat, power loom area","Indira IVF (Ring Road, Vesu), Nova IVF, Birla Fertility","Sunflower IVF, Akruti IVF"
91,Patna,KankarBagh,1125.4,800001,Patna City/Bankipore,"CBD, institutional area","Indira IVF (Boring Road, Kankarbagh), Gaudium IVF, Nova IVF","Crysta IVF, Paras HMRI Fertility"
92,Patna,KankarBagh,1125.4,800006,Boring Road,Premium commercial-residential,"Indira IVF (Boring Road, Kankarbagh), Gaudium IVF, Nova IVF","Crysta IVF, Paras HMRI Fertility"
93,Patna,KankarBagh,1125.4,800014,Rajendra Nagar,"Railway hub, dense residential","Indira IVF (Boring Road, Kankarbagh), Gaudium IVF, Nova IVF","Crysta IVF, Paras HMRI Fertility"
94,Patna,KankarBagh,1125.4,800025,Bailey Road,"Major arterial, commercial strip","Indira IVF (Boring Road, Kankarbagh), Gaudium IVF, Nova IVF","Crysta IVF, Paras HMRI Fertility"
95,Patna,KankarBagh,1125.4,800002,Exhibition Road,"Central, medical hub","Indira IVF (Boring Road, Kankarbagh), Gaudium IVF, Nova IVF","Crysta IVF, Paras HMRI Fertility"
96,Patna,KankarBagh,1125.4,800004,Danapur,"Cantonment area, established residential","Indira IVF (Boring Road, Kankarbagh), Gaudium IVF, Nova IVF","Crysta IVF, Paras HMRI Fertility"
97,Patna,KankarBagh,1125.4,800007,Patliputra Colony,Premium residential area,"Indira IVF (Boring Road, Kankarbagh), Gaudium IVF, Nova IVF","Crysta IVF, Paras HMRI Fertility"
98,Patna,KankarBagh,1125.4,800013,Ashiana More/Digha,"NH bypass, growing commercial","Indira IVF (Boring Road, Kankarbagh), Gaudium IVF, Nova IVF","Crysta IVF, Paras HMRI Fertility"
99,Patna,KankarBagh,1125.4,801503,Phulwari Sharif,"Southern expansion, affordable","Indira IVF (Boring Road, Kankarbagh), Gaudium IVF, Nova IVF","Crysta IVF, Paras HMRI Fertility"
100,Patna,KankarBagh,1125.4,800010,Gardanibagh,"Central residential, established","Indira IVF (Boring Road, Kankarbagh), Gaudium IVF, Nova IVF","Crysta IVF, Paras HMRI Fertility"
